Timestamp,Ball_Position
2024-02-18 16:14:27.717110,"(204, 541)"
2024-02-18 16:14:27.948050,"(204, 499)"
2024-02-18 16:14:28.179137,"(206, 460)"
2024-02-18 16:14:28.421679,"(206, 428)"
2024-02-18 16:14:28.667035,"(207, 403)"
2024-02-18 16:14:28.907705,"(208, 390)"
2024-02-18 16:14:29.148145,"(210, 393)"
2024-02-18 16:14:29.385024,"(211, 407)"
2024-02-18 16:14:29.628036,"(212, 440)"
2024-02-18 16:14:29.868073,"(211, 489)"
2024-02-18 16:14:30.107818,"(210, 544)"
2024-02-18 16:14:30.340792,"(209, 607)"
2024-02-18 16:14:30.570072,"(210, 669)"
2024-02-18 16:14:30.796051,"(211, 599)"
2024-02-18 16:14:31.023459,"(214, 550)"
2024-02-18 16:14:31.251048,"(216, 505)"
2024-02-18 16:14:31.482918,"(219, 462)"
2024-02-18 16:14:31.712229,"(220, 425)"
2024-02-18 16:14:31.937130,"(222, 394)"
2024-02-18 16:14:32.616426,"(223, 358)"
2024-02-18 16:14:32.841903,"(221, 370)"
2024-02-18 16:14:33.066803,"(219, 397)"
2024-02-18 16:14:33.305385,"(216, 438)"
2024-02-18 16:14:33.546093,"(213, 486)"
2024-02-18 16:14:33.774274,"(208, 538)"
2024-02-18 16:14:34.229458,"(201, 662)"
2024-02-18 16:14:34.683807,"(201, 548)"
2024-02-18 16:14:34.923568,"(201, 505)"
2024-02-18 16:14:35.167699,"(201, 464)"
2024-02-18 16:14:35.407831,"(201, 430)"
2024-02-18 16:14:35.648913,"(200, 402)"
2024-02-18 16:14:35.897620,"(200, 384)"
2024-02-18 16:14:36.137532,"(200, 379)"
2024-02-18 16:14:36.365182,"(200, 384)"
2024-02-18 16:14:36.588127,"(200, 404)"
2024-02-18 16:14:36.811654,"(201, 439)"
2024-02-18 16:14:37.040961,"(202, 481)"
2024-02-18 16:14:37.272156,"(203, 530)"
2024-02-18 16:14:37.500037,"(204, 581)"
2024-02-18 16:14:37.949522,"(204, 630)"
2024-02-18 16:14:38.185286,"(204, 578)"
2024-02-18 16:14:38.427506,"(203, 535)"
